"1","2019","1-2月","UD77072917","18148"
"2","2019","7-8月","ZV89317367","16465"
"3","2019","9-10月","OW67711555","14370"
"4","2019","11-12月","DE98255123","15302"
"5","2019","3-4月","NI94909234","18908"
"6","2019","9-10月","JN35959120","18498"
"7","2019","7-8月","ZV64566088","2925"
"8","2019","5-6月","WG48974116","14873"
"9","2019","9-10月","AW39095059","13371"
"10","2019","9-10月","MO77918356","8354"
"11","2019","7-8月","TI23142351","11076"
"12","2019","9-10月","GQ45084174","13158"
"13","2019","5-6月","FS87146916","6149"
"14","2019","11-12月","WT52384836","7669"
"15","2019","7-8月","MN06046800","10149"
"16","2019","11-12月","SN83131810","15957"
"17","2019","1-2月","VY30419865","8672"
"18","2019","1-2月","DU08192138","18199"
"19","2019","11-12月","DP61289528","18306"
"20","2019","5-6月","XF32700349","8216"
"21","2019","3-4月","UG44975464","11812"
"22","2019","7-8月","WH34372153","3857"
"23","2019","5-6月","JC09928436","10394"
"24","2019","1-2月","PZ37103717","5365"
"25","2019","1-2月","RJ26915039","19834"
"26","2019","3-4月","TK66457987","19850"
"27","2019","9-10月","ML02405545","12334"
"28","2019","7-8月","VL45338368","5318"
"29","2019","1-2月","CA93476167","19433"
"30","2019","9-10月","ZP62212057","4105"
"31","2019","1-2月","YD62393108","17180"
"32","2019","3-4月","WK38054048","4031"
"33","2019","9-10月","OJ57602647","15770"
"34","2019","5-6月","ST92510053","10827"
"35","2019","1-2月","PO97436536","16245"
"36","2019","7-8月","LD64405379","10896"
"37","2019","5-6月","TJ27379741","18954"
"38","2019","11-12月","AH38734713","18725"
"39","2019","11-12月","ET84732973","5641"
"40","2019","9-10月","RE03238460","1682"
"41","2019","3-4月","DU62003331","7356"
"42","2019","11-12月","KV48641736","9458"
"43","2019","11-12月","WD35322028","15934"
"44","2019","1-2月","WN84226153","952"
"45","2019","7-8月","TV37941352","10500"
"46","2019","11-12月","ZA82335017","13325"
"47","2019","3-4月","JW27695266","11113"
"48","2019","11-12月","HE16071890","6856"
"49","2019","7-8月","KV10784965","8844"
"50","2019","11-12月","VU71975982","16591"
"51","2019","3-4月","YJ94505202","142"
"52","2019","5-6月","YL93108409","4943"
"53","2019","11-12月","PE91515535","12708"
"54","2019","1-2月","RF07890379","6409"
"55","2019","1-2月","AB55358840","1708"
"56","2019","7-8月","OC04490418","3329"
"57","2019","7-8月","JL83704029","13300"
"58","2019","9-10月","TK60308360","9177"
"59","2019","3-4月","WD10090281","18629"
"60","2019","5-6月","KC75483801","6891"
"61","2019","3-4月","OG15695569","1489"
"62","2019","7-8月","XY66426880","8343"
"63","2019","7-8月","ZW57088561","16710"
"64","2019","9-10月","FD51640173","19477"
"65","2019","7-8月","EN36682443","4815"
"66","2019","11-12月","RQ18885628","13514"
"67","2019","11-12月","IU67378998","3055"
"68","2019","3-4月","FW59044486","18555"
"69","2019","3-4月","VI25743766","18758"
"70","2019","11-12月","CJ43123689","11719"
"71","2019","9-10月","NQ75342326","3101"
"72","2019","1-2月","DY13504059","11426"
"73","2019","5-6月","WY22332297","6614"
"74","2019","9-10月","HR87618067","19808"
"75","2019","7-8月","FC07663431","8147"
"76","2019","5-6月","GE63987278","7865"
"77","2019","7-8月","YV42420988","7496"
"78","2019","1-2月","GI83289536","17834"
"79","2019","1-2月","XW24035035","14750"
"80","2019","1-2月","ZD88998446","6132"
"81","2019","9-10月","HB86293773","1204"
"82","2019","11-12月","NS80936721","9588"
"83","2019","5-6月","WM15706807","19281"
"84","2019","3-4月","QQ37579054","8401"
"85","2019","5-6月","IO80277468","1729"
"86","2019","5-6月","ZG88052142","2928"
"87","2019","9-10月","SJ57956052","3054"
"88","2019","7-8月","WI70720383","14525"
"89","2019","5-6月","OV12513092","3447"
"90","2019","3-4月","GK56387142","17184"
"91","2019","9-10月","JH99846994","19026"
"92","2019","11-12月","VZ49901027","16790"
"93","2019","1-2月","HB25613811","7226"
"94","2019","11-12月","XL15666074","7520"
"95","2019","11-12月","EG02905725","11297"
"96","2019","11-12月","EA03399640","19656"
"97","2019","3-4月","FR30677447","4857"
"98","2019","5-6月","AQ44493911","4419"
"99","2019","7-8月","VT74960762","13217"
"100","2019","5-6月","PC87960681","14001"
"101","2019","3-4月","PS66727640","8796"
"102","2019","11-12月","NT22019713","16841"
"103","2019","9-10月","TR85452665","665"
